clock,xxx,src,dest
65.0,Animation,FCO,ZRH
65.0,Animation,FRA,CGK
65.0,Animation,ORY,PHX
65.0,Animation,PEK,YYZ
65.0,Animation,CGK,PHL
65.0,Animation,FCO,EWR
65.0,Animation,LHR,SYD
65.0,Animation,MAD,MUC
65.0,Animation,ORY,SHA
65.0,Animation,TPE,DEN
70.0,Animation,EWR,LHR
70.0,Animation,JFK,DXB
70.0,Animation,KUL,MIA
70.0,Animation,AMS,SIN
70.0,Animation,ATL,NRT
70.0,Animation,AYT,FCO
70.0,Animation,BOM,CDG
70.0,Animation,BOS,AYT
70.0,Animation,CAN,MCO
70.0,Animation,DTW,HKG
70.0,Animation,EWR,MAD
70.0,Animation,JFK,SZX
70.0,Animation,KUL,ORY
70.0,Animation,LAS,FRA
70.0,Animation,LAX,IAH
70.0,Animation,MSP,YYZ
70.0,Animation,NRT,IAH
70.0,Animation,ORD,SZX
70.0,Animation,YYZ,JFK
70.0,Animation,ZRH,DEL
70.0,Animation,AMS,NRT
70.0,Animation,ATL,SFO
70.0,Animation,AYT,FRA
70.0,Animation,BOM,LHR
70.0,Animation,BOS,HKG
70.0,Animation,CAN,EWR
70.0,Animation,CLT,MUC
70.0,Animation,CTU,GRU
70.0,Animation,DEL,ORY
70.0,Animation,DEN,SEA
70.0,Animation,DFW,MIA
70.0,Animation,DTW,DEL
70.0,Animation,DXB,HKG
70.0,Animation,GRU,MSP
70.0,Animation,HKG,PVG
70.0,Animation,IAH,GRU
70.0,Animation,IST,SFO
70.0,Animation,MCO,ATL
70.0,Animation,MEL,CTU
70.0,Animation,MEX,NRT
70.0,Animation,MIA,SFO
70.0,Animation,MSP,CDG
70.0,Animation,MUC,EWR
70.0,Animation,NRT,PHL
70.0,Animation,ORD,BOS
70.0,Animation,PHL,KUL
70.0,Animation,PHX,MIA
70.0,Animation,PVG,SZX
70.0,Animation,SEA,NRT
70.0,Animation,SFO,IAH
70.0,Animation,SHA,DXB
70.0,Animation,SIN,ZRH
70.0,Animation,SYD,DXB
70.0,Animation,CDG,AMS
70.0,Animation,CLT,LAX
70.0,Animation,CTU,PHX
70.0,Animation,DEL,BOM
70.0,Animation,DEN,MCO
70.0,Animation,DFW,CAN
70.0,Animation,DXB,BOS
70.0,Animation,FRA,BOM
70.0,Animation,GRU,SEA
70.0,Animation,HKG,MAD
70.0,Animation,IAH,MAD
70.0,Animation,IST,CDG
70.0,Animation,LAS,YYZ
70.0,Animation,LAX,CGK
70.0,Animation,MCO,JFK
70.0,Animation,MEL,DEN
70.0,Animation,MEX,SZX
70.0,Animation,MIA,NRT
70.0,Animation,MUC,MEX
70.0,Animation,PEK,MIA
70.0,Animation,PHL,GRU
70.0,Animation,PHX,CGK
70.0,Animation,PVG,BOS
70.0,Animation,SEA,CTU
70.0,Animation,SFO,SHA
70.0,Animation,SHA,CLT
70.0,Animation,SIN,LAX
70.0,Animation,SYD,ORD
70.0,Animation,SZX,KUL
70.0,Animation,YYZ,NRT
70.0,Animation,ZRH,JFK
75.0,Animation,EWR,SFO
75.0,Animation,JFK,EWR
75.0,Animation,AYT,ZRH
75.0,Animation,BOM,PEK
75.0,Animation,BOS,LHR
75.0,Animation,CAN,FRA
75.0,Animation,DTW,LAS
75.0,Animation,EWR,ZRH
75.0,Animation,JFK,SFO
75.0,Animation,KUL,MEX
75.0,Animation,MSP,SFO
75.0,Animation,NRT,EWR
75.0,Animation,ORD,CDG
130.0,Animation,LHR,PHL
135.0,Animation,PHL,JFK
135.0,Animation,SHA,YYZ
135.0,Animation,PVG,ZRH
135.0,Animation,YYZ,LHR
135.0,Animation,LHR,DTW
138.0,Animation,LAS,DTW
140.0,Animation,JFK,FCO
142.0,Animation,ORD,KUL
145.0,Animation,SIN,LHR
145.0,Animation,KUL,JFK
148.0,Animation,LAX,BOS
148.0,Animation,AYT,MEX
150.0,Animation,AMS,SEA
151.0,Animation,DTW,KUL
151.0,Animation,MIA,DXB
152.0,Animation,SHA,MEX
155.0,Animation,FRA,DTW
155.0,Animation,JFK,SZX
158.0,Animation,CAN,CLT
158.0,Animation,FCO,CLT
162.0,Animation,ORY,MSP
163.0,Animation,AMS,IAH
164.0,Animation,YYZ,MSP
165.0,Animation,FRA,MAD
166.0,Animation,FCO,CTU
167.0,Animation,SIN,ZRH
168.0,Animation,ORD,IAH
171.0,Animation,FCO,DXB
171.0,Animation,JFK,MEL
171.0,Animation,DTW,MCO
171.0,Animation,TPE,IAH
172.0,Animation,DTW,AYT
173.0,Animation,SFO,CTU
175.0,Animation,PHL,MSP
175.0,Animation,TPE,CLT
175.0,Animation,JFK,ATL
177.0,Animation,PEK,PHL
177.0,Animation,DEN,CDG
177.0,Animation,ZRH,MIA
178.0,Animation,DEL,KUL
178.0,Animation,ORY,IST
179.0,Animation,ATL,SZX
180.0,Animation,BOS,DFW
181.0,Animation,ATL,PHX
182.0,Animation,MIA,JFK
183.0,Animation,MCO,IAH
185.0,Animation,DEN,LAX
187.0,Animation,CLT,ATL
189.0,Animation,ORD,SIN
190.0,Animation,SZX,DXB
190.0,Animation,SZX,PHX
190.0,Animation,SHA,ORD
192.0,Animation,DEN,CAN
196.0,Animation,AMS,SHA
197.0,Animation,CDG,ATL
197.0,Animation,DTW,HKG
201.0,Animation,PVG,GRU
201.0,Animation,BOS,YYZ
202.0,Animation,DEN,MIA
202.0,Animation,BOS,LAX
202.0,Animation,DFW,BOM
203.0,Animation,YYZ,KUL
205.0,Animation,ATL,LHR
206.0,Animation,AMS,PHL
210.0,Animation,MCO,SEA
210.0,Animation,IST,MSP
210.0,Animation,JFK,CGK
211.0,Animation,AMS,LAS
211.0,Animation,DFW,PVG
211.0,Animation,YYZ,DTW
